corrected,sentence
 أكثر من تخصص  الحمد لله الذي وفقني لدراسة الشرعية في جامعة الإمام محمد بن سعود الإسلامية  فأنا الآن أدرس في المستوى الثاني من قسم اللغة العربية والعلوم الإسلامية  وأريد الالتحاق بكلية الشريعة  إن شاء الله   واختيار الناس لهذه الكلية قد يختلف من شخص إلى آخر  قد يختارها البعض من أجل وظيفة يحصل عليها بعد انتهائه من الكلية  والبعض الآخر يختار هذه الكلية  لأن والديه يريدان ذلك  والآخر يختارها لحفظ دين الله وشريعته  فأرجو أن يوفقنا الله لأفضل اختيار  وإخلاص النية له  وللعمل الصالح  واخترت هذه الكلية كي أتعلم ديني الذي هو لحمي ودمي  وهذا العلم معروف شأنه في كتاب الله وسنة رسوله  صلى الله عليه وسلم   لأن هذا العلم يهدي الإنسان إلى الخير  والتقوى  والعمل الصالح  وبهذا العلم أريد رفع الجهل عن نفسي وعن غيري  وأكون كالرعيل الأول من الصحابة والتابعين  لأنهم بالعلم الشرعي والعمل الصالح الناتج عنه كانوا صالحين مع أنفسهم ومصلحين لغيرهم  فهم قدوة لنا  ولذلك تعلم الشريعة ليس تخصصا فقط بل هو أكثر من ذلك  لأنه متعلق بدين المسلم وسلوكه في هذه الحياة  وهو سفينة نجاته ,  أكثر من التخصص الحمد لله الذي وفقني لدراسة شرعية في جامعة الإمام محمد بن سعود الإسلامية فأنا الآن أدرس في المستوى الثاني من قسم اللغة العربية والعلوم الإسلامية وأريد الالتحاق بكلية الشريعة إن شاء الله  واختيار الناس لهذه الكلية قد تختلف من شخص إلى آخر  قد يختار البعض من أجل وظيفة يحصل عليها بعد انتهاء الكلية والبعض الآخر يختار هذه الكلية لأن والديه يريدان ذلك والآخر يختار لحفظ دين الله وشريعته  فأرجو أن يوفقنا لأفضل الاختيار و وإخلاص النية له والعمل الصالح    وأختار هذه الكلية كي أتعلم ديني الذي هو لحمي ودمي  والعلم معروف شأنه في كتاب الله وسنة رسوله صلى الله عليه وسلم  لأن العلم يهدي الإنسان إلى الخير والتقوى والعمل الصالح  وبهذا العلم أريد رفع الجهل عن نفسي وعن غيري وأكون كالرعيل الأول من الصحابة والتابعين  لأن بالعلم الشرعي والعمل الصالح الناتج عنه كانوا صالحين في أنفسهم ومصلحين لغيرهم  فهم قدوة لنا  ولذلك تعلم الشريعة ليس تخصصا فقط بل هو أكثر من ذلك لأنه متعلق بدين المسلم وسلوكه في هذه الحياة وسفينة نجاته 
 رحلة إلى أبها  قمنا برحلة إلى أبها  وكنا تسعة أشخاص  كان موعد تجمعنا في ملعب إسكان الطلاب الساعة     وبعد ذلك انطلقنا إلى مطار الملك خالد بالرياض  عند وصولنا إلى المطار  ركبنا الطائرة إلى أبها  ولما وصلنا إلى أبها  جاء رجلان لاستقبالنا  ثم بعد السلام  نقلوننا بالحافلة  في الطريق إلى الفندق  كانت أبها فيها مناظرا جميلة  شاهدت القرون في الطريق والجبال  وذهبنا لزيارة جامعة الملك خالد  الجامعة  ما شاء الله  جميلة جدا  أشكر العمداء لقيامهم بهذه الرحلة  جزاهم الله خيرا , رحلة إلى أبها قمنا برحلة إلى أبها  كنا تسعة أشخاص  كان موعد تجمعنا في ملعلب إسكان الطلاب الساعة     وبعد ذلك انطلقنا إلى المطار الملك خالد بالرياض  عند وصولنا في المطار  ركبنا بطائر إلى أبها  لما وصلنا في أبها جاء رجلان للاستقبالنا  ثم بعد السلام نقلوانا بحافلة في طريق إلى الفندق أبها فيها مناظر جميلة  شهادة القرون في طريق والجبال  وذهبنا لذيارت جامعة الملك حالد  الجامعة مشاء الله جميل جدا  أشكر عمادة بقيام هذه رحلة  جزاهم الله خيرا 
 دراستي في كلية أصول الدين  عندي رغبة شديدة في دراسة أصول الدين  لأن كمبوديا هي دولة بوذية وبحاجة ماسة إلى علم صحيح مع عقيدة سلفية  وأيضا في منطقتي أغلب الناس هم أهل صوفية  وأشاعرة  وأهل خرفات  هؤلاء ينشرون عقيدتهم الغير صحيحة إلى بعض المسلمين  وأريد أن أرشدهم إلى عقيدة سليمة  ولكني لا أستطيع أن أفعل ذلك  لأنني مازلت في معهد تعليم اللغة العربية  ولذلك أرجو أن أدرس في هذه الكلية الجميلة بإذن الله تعالى   وصلى الله  على نبينا محمد  وعلى آله  وصحبه أجمعين , دراستي كلية أصول الدين عندي رغبة شديدة في دراسة أصول الدين لأن كمبوديا هي دولة بوذية وبحاجة ماسة إلى علم صحيح في عقيدة سلقية وأيضا في منطقتي أغلب الشي أهل صوفيين وأشاعرة وأهل خرفات هؤلاء ينشرون عقيدقهم غير صحيحة إلى بعض المسلمين وأريد أن أرشدهم إلى عقيدة سليمة ولكنتي لا أستطيع أن أفعل بذلك لأنني مازلت في معهد تعليم اللغة العربية  ولذلك أرجو أن أدرس في هذه الكلية الجميلة بإذن الله تعالى    وصلى الله على نبينا محمد وعلى آله وصحبه أحمعين 
 أحلامي هي البنك الإسلامي  إنني أفضل كلية الاقتصاد  على أن يكون فيها بنكا إسلاميا   لأنني أريد أن يرى العالم عالما إسلاميا في المستقبل  في الدعوة الإسلامية  وفي الشريعة  وفي أصول الدين قد شارك كثير من الطلاب والعلماء  إنهم يهتمون بنشر الإسلام في أحكامه  وحل المشاكل بين الناس باعتبار الإسلام  هناك يوجد كثير من المراكز الإسلامية لنشر الدعوة الإسلامية للمسلمين وغيرهم  وهذا مجال متوفر ولا سيما في بلدنا سريلانكا  ولهذا الآن  يحتاج بلدي إلى فن مختلف إسلامي  في الاقتصاد  والسياسة  والمهن  وغير ذلك من الفنون التي لا تعد ولا تحصى  ولهذا أنا اخترت البنك الإسلامي لأنه مناسب لبلدنا  فهناك توجد كثير من البنوك فيها الكثير من الظلم  والرباء  وخداع للناس  أنا أتعلم من البنك الإسلامي  وأشتغل فيه دعوة إلى الله , أحلامي في البنك الإسلامي أنني أفضل كلية الاقتصاد  فيه البنك الإسلامي   لأنني أريد العالم أن أنظر عالما إسلاميا في المستقبل  في الدعوة الإسلامية والشريعة وفي أصول الدين قد شارك كثير من الطلاب والعلماء  أنهم يهتمون بنشر الإسلام في احكامها وحل المشاكل بين الناس باعتبار الإسلام  هناك يوجد كثير من المراكز الإسلام لنشر الدعوة الإسلامية للمسلمين وغيرهم  وهذا مجال ممتلئ ولا سيما في بلدنا سريلانكا  ولهذا الآن نحتاج بلدي إلى فن مختلف اسلامي  في الإقتصاد والسياسي والمهنة وغير ذلك من الفنون التي لا تعد ولا تحصى    ولهذا اخترت أنا البنك الإسلامي مناسبة لبلدنا  هناك توجد كثيرا من البنك  فيها كثيرا من الظلم والربى والخيانة للناس  أنا أتعلم البنك الإسلامي وأشتغل فيه دعوة إلى الله 
 رحلة إلى القرية لزيارة ذوي القربى  اعتدت الذهاب إلى قريتي في الإجازات الصيفية  الموجودة في غرب بلدي المسمى ببوركينا فاسو  تسمى قريتي ساغابتنفا  قمت برحلة إليها في الإجازة الصيفية الماضية  وكانت من أمتع الرحلات التي رحت إليها وأفضلها  فبعد أن قررت الرحيل إليها  اتصلت بمن فيها من سادة القوم وكبارهم  فسروا وفرحوا لما سمعوا مني ما يسر أفئدتهم  ولما طال من فراق بيننا بسبب طلب العلم والسير في الأرض لأجله  فازددت همة في المسير لما سمعته وإقداما  ولحب أهل القرية تجاهي  فخرجت إلى طريقي في الخامس عشر من رمضان متجها إلى القرية  فوصلت إليها في يومه  فأكرموني وطبخوا لي طعاما شهيا تاق إليه قلبي قبل تذوقي له  ثم قدموني إماما  فصليت بهم الظهر ونمت بعدها  فلما استيقظت العصر وصليت  جاؤوني سائلين عن أهل المدينة ومن تركتهم في المدينة  ثم سألوني عن السعودية وأهلها  وكيف وجدتها ومن فيها  فأجبتهم بما تيسر لي أن أجيبهم  ثم عقدوا لي مجلسا أدرس فيه القرآن  واعظا فيه الناس بما تيسر لي  وبما تعلمته من العقيدة الصحيحة من أساتذتي الفضلاء  فبقيت على هذا أكثر من حين حتى عدت إلى المدينة , الرحلة إلى القرية لزيارة ذوي القربى اعتدت الذهاب إلى قريتي في الإجازات الصيفية الموجودة في غرب بلدي المسمى ببوركينا فاسو    تسمى قريتي ساغابتنفا  قمت برحلة إليها في الإجازة الصيفية الماضية وكانت من أمتع الرحلات اللتي رحلت إليها وأفضلها  فبعد أن قررت الرحيل إليها  اتصلت بمن فيها من سادة القوم وكبارهم  فسرو وفرحو  لما سمعو مني ما يسر أفئدتهم ولما طال الالتقاء بيننا لسبب طلب العلم والسير في الأرض لأجله فاازددت همة في المسير لما سمعت إقداما وحبا لأهل القرية تجاهي فخرجت في طريقي الخامس عشرة من رمضان متجها إلى القرية  فوصلت إليها في يومه  فأكرموني وطبوخو لي طعاما شهيا طاقت إليه قلبي قبل ذوقي ثم قدموني إماما  فصليت بهم الظهر وقلت بعدها  فلما استيقظت للعصر وصليت جاؤوني سائلين عن أهل المدينة ومن تركتهم في المدينة ثم سألوني عن السعودية وأهلها وكيف وجدتها ومن فيها  فأجبتهم بما تيسر لي أن أجيبه  ثم عقدوا لي مجلسا أدرس فيه القرآن وأعظ فيه الناس بما تيسر لي وما تعلمته من العقيدة الصحيحة من أساتذي الفضلاء فيقيت على هذا أكثر من حين لحتى عدت إلى المدينة 
 أحب كلية أصول الدين  كلمة أصول الدين تعني أصول الإسلام  ولا بد لنا أن نعرف عن الدين وسنة النبي  صلى الله عليه وسلم   وهذه الكلية التي أحب أن أدرس فيها  لأن فيها علم الأصول بجميع أنواعه  والدين الإسلامي  وإن شاء الله  لو فهمنا جيدا الدين سيجعلنا سليمي العقيدة وموحدين الله وحده  فإذا كنا سليمي العقيدة ولا نشرك بالله تعالى  فإذا هذا الذي يريد الناس حقيقة  أحب كلية أصول الدين  لأنني أريد أن يجعلنا من المسلمين السليمي العقيدة  لأن في بلدنا كثير من الناس لا يفهمون العقيدة  وهم لا يدرسون  وأردت أن أدرسهم ليفهموا العقيدة الصحيحة  وإن شاء الله  لو كان هناك فرصة سأكون مدرسا في علم العقيدة في بلادنا  إن شاء الله  وأخيرا  أشكر الله تعالى على كل شيء  وعلى ما قدر الله تعالى لنا  وأشكر الله على حضوركم   والسلام عليكم ورحمة الله وبركاته  , أحب كلية أصول الدين الكلمة أصول الدين يعنى أصول الإسلام ولا بد علينا أن نعرف عن الدين والسنة النبي صلى الله عليه وسلم وهذه الكلية التي أحب فيه لأنها العلم أصول بجميع عن الدين الإسلام وإن شاء الله لو فهمنا جيدا عن الدين يجعلنا سليم العقيدة والتوحيد الله وحده إذا كان سليم العقيدة ولا يشرك بالله تعالى إذا هذا الذي يريد الناس حقيقتا أحب الكلية أصول الدين لأننى أريد أن يجعلنا من المسلم السليم العقيدة لأن في بلدنا كثير من الناس لا يفهمون عن العقيدة هم لا يدرسون وأردت أن أدرسهم ليفهمون عن العقيدة الصحيح وإن شاء الله لو كان هناك فرصة سأكون مدرس في علم العقيدة في بلادنا إن شاء الله    وأخيرا أشكر الله تعالى على كل شيء وعلى ما قدر الله تعالى علينا وأشكر الله على حضوركم  والسلام عليكم ورحمة الله وبركاته 
 التخصص في الشريعة  الحمد لله  والسلام على خليل الله  وعلى آله وأصحابه إلى يوم الساعة  أما بعد  أريد أن أتخصص في علوم الشريعة  أولا  لأن بلدي أفغانستان وأهلها بعيدون ويحتاجون إلى تعليم العلم الشرعي  وهذا من أمنياتي أن أدعو الناس كافة إلى كتاب الله وسنة رسوله  صلى الله عليه وسلم   وأرجو من الله أن يدخلني تحت قول رسول الله  صلى الله عليه وسلم    خيركم من تعلم القرآن وعلمه   وأن أقضي عمري في إصلاح الناس  وغير ذلك  وبالله التوفيق , التخصص في الشريعة الحمد لله والسلام على خليل الله  وعلى اله وأصحابه إلى يوم الساعة    أما بعد  أريد أن اتخصص في علوم الشريعة أولا  لأن بلدنا  أفغانستان  وأهلها  بعيد ويحتاجون إلى تعليم العلم الشرعي  وهذا من تمنياتي أن أدعو الناس كافة إلى كتاب الله وسنة رسوله  صلى الله عليه وسلم  وأرجو من الله أن أدخلني تحت قول رسول الله  صلى الله عليه وسلم   خيركم من تعلم القرآن وعلمه  وأن أقضي عمري في إصلاح الناس  وغير ذلك  وبالله التوفيق 
 طالب العلم في المسجد  إن مما يحمد للمسلم عامة ولطالب العلم خاصة حرصه على أن يكون من السابقين إلى الجمعة  والجماعة  والمحافطة على الصف الأول  ويتأكد هذا الحرص في طالب العلم لكونه قدوة للآخرين  وحتى يطابق فعله قوله  فحقيق بطالب العلم أن يحث الناس على التبكير إلى المسجد  ويحذرهم من التأخير  فاحرص  رعاك الله  أن تكون مثل طالب العلم المتصف بصفات السلف الصالح  كالحرص على الجمعة  والجماعة  والمسارعة إلى المسجد عند سماع النداء  وفي ترجمة إبراهيم بن ميمون الصائغ قال عنه ابن معين  كان إذا رفع المطرقة فسمع النداء لم يردها  وقال الشعبي   ما دخل وقت صلاة حتى أشتاق إليها  وقال أيضا   ما أقمت الصلاة منذ أسلمت إلا وأنا على وضوء   وقول إبراهيم بن يزيد  رحمه الله تعالى   إذا رأيت الرجل يتهاون في التكبيرة الأولى فاغسل يدك منه   وإلى آخره , طالب العلم في المسجد إن مما يحمد للمسلم عامه ولطالب العلم خاصه  حرصه على أن يكون من السابقين إلى الجمعة والجماعه  والمحافطة على الصف الأول  ويتأكد هذا الحرص في طالب العلم  لكونه قدوه للآخرين  وحتى يطايق فعله قوله فقييح بطالب العلم أن يحث الناس على التبكير إلى المسجد ويحذرهم من التأخير فاحرص  رعاك الله  أن تكون مثل طالب العلم المتصف بصفات السلف الصالح  كالحرص على الحمعه والجماعه والمسارعه إلى المسجد عند سماع النداء وفي تزجمه إبراهيم بن ميمون الصائع قال عنه ابن معين  كان إذا رفع المطرقة فسمع النداء لم يردها قال الشعبي  ما دخل وقت صلاه حتى أشتاق إليها وقال أيضا   ما أقمت الصلاة منذ أسلمت  إلا وأنا على وضوء وقول إبراهيم بن يزيد رحمه الله تعالى إذا رأيت الرجل يتهاون في التكبيره الأولى فاعسل يدك منه وإلى آخر
 عندي رغبة شديدة في كلية أصول الدين  الحمد لله رب العالمين  والصلاة والسلام على رسول الله  وعلى آله وصحبه أجمعين  وبعد  السلام عليكم  ورحمة الله وبركاته  وأتشرف بالإفادة بأني  معلومة شخصية محذوفة  كمبودي الجنسية  مولود بتاريخ  معلومة شخصية محذوفة  في محافظة تاكيو  يا شيخي الفاضل  لدي رغبة شديدة في مواصلة الدراسة في كلية أصول الدين بجامعة الإمام محمد بن سعد الإسلامية  لأن هذه الجامعة الطيبة قد سمعت عنها من أصدقائي  قالوا أن التعليم في تخصص أصول الدين بشكل ممتاز جدا على الطريق السلفي  ولذا أتمنى أن تتحقق رغبتي قريبا  إن شاء الله  لأن منطقة تاكيو بحاجة ماسة إلى من يرشدهم إلى عقيدة سلفية  لأن الناس فيها جهلاء ليس لهم علما متعلقا بالعقيدة  علما بأن مملكة كمبوديا هي مملكة بوذية وعدد المسلمين قليل جدا حوالي ستة في المائة  ولذا عدد العلماء قليل أيضا  ختاما  أدعو الله أن يوفق القائمين على هذه الأعمال والمشاركين في التعليم  وأن يحقق الآمال المرجوة منها  إنه سميع مجيب  والسلام عليكم  ورحمة الله وبركاته , عندي رغبة شديدة في كلية أصول الدين الحمد لله رب العالمين والصلاة والسلام على رسول الله وعلى آله وصحبه أجمعين وبعد    السلام عليكم ورحمة الله وبركاته فأتشرف بالإفادة بأني  معلومة شخصية محذوفة  كمبودي الجنسية المولود بتاريخ  معلومة شخصية محذوفة  في محافظة تاكيو  يا شيخي الفاضل لدي رغبة شديدة في مواصلة الدراسة في كلية أصول الدين بجامعة الإمام محمد بن سعدو الإسلامية لأن هذه الجامعة الطيبة قد سمعتها من أصدقائي قالوا إن التعليم في تخصص أصول الدين بشكل ممتاز جدا على طريق سلفي  ولذا أتمنى رغبتي تأتى قريبا إن شاء الله لأن منطقة تاكيو بحاجة ماسة إلى من يرشدهم إلى عقيدة سلفية  لأن الناس فيها جهلاء ليس لهم علم متعلق بعقيدة  علما بأن مملكة كمبوديا هي مملكة بوذية وعدد المسلمين قليليت جدا حوالي ستة في المائة ولذا عدد العلماء قليلين أيضا    ختاما  أدعو الله أن يوفق القائمين على هذه الأعمال والمشاركين في التعليم  وأن يحقق الآمال الرجوة منها إنه سميع مجيب    والسلام عليكم ورحمة الله وبركاته 
 الرحلة إلى مكة للعمرة  كنت مع أصدقائي في الرحلة إلى مكة للعمرة  وهذه كانت أول مرة لأداء العمرة  لأنني ما اعتمرت وما حججت من قبل  ومكتب الدعوة هو من ينظم هذه الرحلة  وأحد الطلاب القدامى اسمه عيسى رئيس في هذه الرحلة  وهو يخدمنا  ويشرح لنا بعض المعلومات الدينية وبعض المعلومات الدنيوية  ويشجع  ويحث الطلاب الذين اشتركوا في هذه الرحلة أن يستفيدوا من البرنامج ليزول تعب السفر  الطلاب مسرورون بهذه الرحلة  وهم ناشطون وفرحون  عندما ذهبنا إلى الميقات قرب المنازل  اغتسلنا وتطيبنا للإحرام  وبعد الغسل  نوينا العمرة وقلنا  لبيك عمرة  ثم ذهبنا إلى مكة المكرمة وكبرنا  لبيك اللهم لبيك  لبيك لا شريك لك لبيك  إن الحمد والنعمة لك والملك  لا شريك لك مرارا وتكرارا  بعد نصف ساعة  وصلنا إلى الفندق  أفطرنا فيه  ثم توجهنا إلى الكعبة مباشرة  بعد عشر دقائق وصلنا إلى الكعبة  قبل أن نبدأ العمرة  الرئيس عيسى قسم الطلاب إلى أقسام  في كل قسم طالب قديم واحد أو أكثر يساعد الطلاب الجدد في العمرة  ويشرح لهم كيفية العمرة  وآدابها  وأركانها  وإلى غير ذلك  ثم بدأنا العمرة  طواف حول الكعبة سبعة أشواط  بعدها صلينا ركعتين خلف مقام إبراهيم  وبعدها سعينا بين الصفا والمروة سبعة أشواط مع الدعاء إلى الله وجهة الكعبة  وفي الأخير حلق الشعر أو تقصيره , الرحلة إلى مكة للعمرة كنت مع أصدقائي الرحلة إلى مكة للعمرة  وهذه أول مرة للعمرة لأنني ما اعتمرت وحججت من قبل  ومكتب الدعوة ينظم هذه الرحلة  وأحد طالب قديم اسمه عيسى رئيس في هذه الرحلة  وهو يخدمنا ويشرحنا بعض المعلومات الدينية وبعض المعلومات الدنيوية  وشجع وحث على الطلاب الذين اشتركوا في هذه الرحلة أن يستفدوا البرنامج ليزيل تعب السفر  الطلاب مسرورون بهذه الرحلة وهم ناشطون وفرحون    عندما ذهبنا إلى ميقات قرن المنازل  نغسل نتطيب لإحرام  بعد الغسل ننوى للعمرة قال  لبيك عمرة ثم نذهب إلى مكة المكرمة ونكبر  ليبك اللهم ليبك  ليبك لا شريك لك لبيك  إن الحمد والنعمة له الملك لا شريك لك مرارا وتكرارا  بعد نصف الساعة وصلنا إلى الفندق أفطرنا فيها ثم ذهبنا إلى الكعبة مباشرا بعد عشر دقائق وصلنا إلى الكعبة  قبل بدأنا العمرة رئيس عيسى قسم الطلاب إلى أقسام  لكل قسم فيها أحد أو كثر طالب قديم يساعد طلاب جدد للعمرة ويشرح لهم كيفية العمرة وآدابها وركنها إلى غير ذلك  ثم نبدأ العمرة  طواف حول الكعبة سبعة أشواط بعدها صلينا ركعتين خلف مقام إبراهيم  وبعدها نسعى بين الصفا والمروة سبعة أشواط مع الدعاء إلى الله وجهه الكعبة والأخير خلق الشعر أو قصره 
