,text,words_with_errors,sentence_with_errors
0,ياراجل فن ايه هوه ده فن دي قله,ياجارل نف اهي هو د نف يد قلئه,ياراجل فن اه هوه ده فن دي قل
1,حاجه تكسف مش كفايه روبي كمان,حاهج تكس م كفاي رئوبي كامن,حاجه تكسف شم كفايه روبي نماك
2,اللهم صبرنا علي ما ابتليتنا به مناظركم دي هي اللي زودت القرف الي بنشوف في الشارع,الهم صرنا عئلي مئا ابتلتنا هب مناظمكر دئي هئي الل زدت قلارف ائلي بنوف يف الاشرع,الله صبرنا عيل ما ابتايتنل به مناظركم د هي اللي زودئت القرف الي بنشوف في الشارع
3,ارحمونه الفن خرب من الاقارب والعالم,احرمونه الفئن خر نم رلاقااب وملعالا,راحمونه الفن خرب من الاقارئب والعالم
4,ارحمونه الفن خرب من الاقارب والعالم,ارمونه النف خب نم الاارب واعالم,ارحمونه الئفن خرب من الاقارب والعال
5,الاخت روبي مش مكفيها اللي عاملاه جايبه لنا اختها هي المشرحه ناقصه,الخت ربوي م مكئفيها ايلل عائملاه جيبه لئنا هختاا هئي الئمشرحه نئاقصه,الاخت روبي مش مكفيها الئلي عاملاه جايبه انل اختها هي رلمشاحه ناقصه
6,مجتش عليها يعني اشمعنا هيفا طلعت اختها جت علي الغلبانه اللي كل ماتقوله اه يقولها,متش عليهئا يني امعنا هافي طعت اخئتها جئت يلع نلغلبااه للاي لك ماقوله ها يهولقا,مجتش عليها يعني اشمعنا هيفا طلعت اختها جت علي الغلبانه اللي كل ماتقوله ا يقولها
7,نتفرج علي ولادك يا مصر شرم الشيخ صيف,نتفئرج عئلي ولئادك اي مئصر شرئم الئشيخ صفي,نتفرج علئي ولادك يئا مصر شرم الشئيخ صفي
8,ديما نسمع عن ناس بتهرب وبردو بنسمع عن ناس بتموت وبردو بنسمع ان في ناس ومراكب بتتحبس في تونس ولبيا اه السبب هل الجاز غلي علي المركب ومبقش تجيب مصريفه او الناس بقت طمعه يا طره ايه السبب الله يكون في عون,يدما نئسمع نع نسا بترب وردو بنسم عئن سان بتئموت وبرو بئنسمع ائن فئي نا بمراكو تبتحبس فئي توئنس ولايب ا الئسبب هئل الاز لغي عي المكب ومقش بجيت مصريفئه ائو سلناا بت طهعم ي طئره ايئه السب الل يوكن ف عنو,ديما نمع عن ناس بتهرب وبرو بعسمن عن ناس بتموت وبردو بنسمع ائن ف ناس وماكب بتبحتس في تونس ولبا اه السبب هل ائلجاز غلي علي الكرمب ومبقش تجيب مصريفه او الناس بت طمعه يا طره ايه السبب الله يكو في وعن
9,ما تخليك واضح يا استاذ ما الكل عارف ان ده بيقرب للحرب ما تتكلم بصراحه واللي عاجبه يوافقك اللي مش عاجبه,مئا تخلك واض يئا ائستاذ مئا الئكل عارئف ائن دئه بيرب لحرب م تمكلت براحه واليل عجبه يئوافقك لالي م عابه,ما تخليك واضح يا استاذ مئا الكل عارف ان ده بيقرب للحرب مئا تتكلم بصراحه واللي عاجبه يوافقك اللي مش عاجبه
10,بعدين انت بتتكلم زي العرب بالظبط سياده ناقصه حصاد مر هو انت عايش في منطقه تانيه يا اساتذ ولا مش شايف مثلا الدول اللي زي سوريا غيرها بيعملوا ايه,عبدين ائنت بئتتكلم ز الرب بالظطب سيادئه ناقئصه حئصاد م ه انئت عيش ف منقه تانه يئا ااتذ ولئا م ياشف مثال الدئول الي يز سوريئا غياهر بيعئملوا هيا,بعدين انت بتتكلم زي العرب بالظبط سياده ناقصه حصاد مئر هو انت عايش في منطقه تانيه ي اساتذ ولئا مش شيف مثلا الول الئلي يز سوريا غيرها بيعملوا ايه
11,ربنا يستر من الفتره الجايه بين مقصله الفساد من النظام الحالي سندان الحروب من النظام,نبرا يستئر مئن الفهرت اجايه بي مقصئله الفاد مئن النظا الحلاي سادنن رلحاوب مئن ظلناام,رئبنا يستر من الفتره الجايه بين مقصله الفسائد نم النظائم الحالي سندان الروب من النظام
